Serial number:,2045101,,,
Channel:,CH1,,,
Start date:,2024/4/4,Start time:,22:08:39,
Sample:,1s,,,
Reading #,Reading,,,
NO.,Voltage,Current,Power,Status
239,5.06,0.643,3.254,CV
240,5.059,0.648,3.278,CV
241,5.06,0.765,3.871,CV
242,5.059,0.684,3.46,CV
243,5.059,0.707,3.577,CV
244,5.06,0.774,3.916,CV
245,5.06,0.702,3.552,CV
246,5.06,0.664,3.36,CV
247,5.06,0.761,3.851,CV
248,5.06,0.791,4.002,CV
249,5.06,0.774,3.916,CV
250,5.059,0.61,3.086,CV
251,5.06,0.701,3.547,CV
252,5.06,0.633,3.203,CV
253,5.06,0.741,3.749,CV
254,5.059,0.628,3.177,CV
255,5.059,0.736,3.723,CV
256,5.059,0.695,3.516,CV
257,5.06,0.774,3.916,CV
258,5.06,0.734,3.714,CV
259,5.06,0.622,3.147,CV
260,5.06,0.671,3.395,CV
261,5.06,0.758,3.835,CV
262,5.06,0.76,3.846,CV
263,5.06,0.767,3.881,CV
264,5.06,0.686,3.471,CV
265,5.06,0.795,4.023,CV
266,5.059,0.76,3.845,CV
267,5.06,0.713,3.608,CV
268,5.06,0.741,3.749,CV
269,5.06,0.782,3.957,CV
270,5.06,0.766,3.876,CV
271,5.059,0.782,3.956,CV
272,5.06,0.738,3.734,CV
273,5.06,0.644,3.259,CV
274,5.06,0.775,3.921,CV
275,5.06,0.778,3.937,CV
276,5.06,0.747,3.78,CV
277,5.06,0.752,3.805,CV
278,5.06,0.778,3.937,CV
279,5.06,0.71,3.593,CV
280,5.06,0.821,4.154,CV
281,5.06,0.714,3.613,CV
282,5.06,0.714,3.613,CV
283,5.06,0.746,3.775,CV
284,5.06,0.654,3.309,CV
285,5.06,0.636,3.218,CV
286,5.06,0.631,3.193,CV
287,5.06,0.719,3.638,CV
288,5.06,0.64,3.238,CV
289,5.06,0.737,3.729,CV
290,5.06,0.669,3.385,CV
291,5.06,0.682,3.451,CV
292,5.06,0.771,3.901,CV
293,5.06,0.71,3.593,CV
294,5.06,0.63,3.188,CV
295,5.059,0.77,3.895,CV
296,5.06,0.64,3.238,CV
297,5.06,0.771,3.901,CV
298,5.06,0.772,3.906,CV
299,5.06,0.74,3.744,CV
